lag,n_obs,df_num,df_den,sse_restricted,sse_unrestricted,f_stat,p_value,model,display,predictors,controls,story
6,6203,6,6180,337816218986.7516,333476300211.8792,13.404599772992537,3.685789532738549e-15,KTCI_a,KTCI-a Model,ktci_a,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",실제 기온 흐름으로 계절을 재계산한 관광쾌적도
7,6202,7,6177,321625218891.4912,318256412815.6088,9.340678186689432,1.4576362745864855e-11,KTCI_a,KTCI-a Model,ktci_a,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",실제 기온 흐름으로 계절을 재계산한 관광쾌적도
1,6208,1,6195,363005686977.52954,352244412741.5325,189.26089805977887,1.929552715876211e-42,KTCI_a_roll7,KTCI-a-roll7 Model,ktci_a_roll7,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",KTCI-a의 7일 rolling 평균으로 체감 지속성 반영
2,6207,2,6192,349116772749.2715,340910196086.0596,74.5286050138852,1.0377174111937984e-32,KTCI_a_roll7,KTCI-a-roll7 Model,ktci_a_roll7,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",KTCI-a의 7일 rolling 평균으로 체감 지속성 반영
3,6206,3,6189,345947315286.86707,337217412514.13855,53.40705655104281,4.493877767859588e-34,KTCI_a_roll7,KTCI-a-roll7 Model,ktci_a_roll7,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",KTCI-a의 7일 rolling 평균으로 체감 지속성 반영
4,6205,4,6186,340799938733.01013,333257699130.5191,35.00016226387071,6.023287355491784e-29,KTCI_a_roll7,KTCI-a-roll7 Model,ktci_a_roll7,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",KTCI-a의 7일 rolling 평균으로 체감 지속성 반영
5,6204,5,6183,340024534726.2549,332469241042.04926,28.10147531424428,2.964498524213944e-28,KTCI_a_roll7,KTCI-a-roll7 Model,ktci_a_roll7,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",KTCI-a의 7일 rolling 평균으로 체감 지속성 반영
6,6203,6,6180,337816218986.7516,330560881178.1784,22.607024509964003,1.6608584655875412e-26,KTCI_a_roll7,KTCI-a-roll7 Model,ktci_a_roll7,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",KTCI-a의 7일 rolling 평균으로 체감 지속성 반영
7,6202,7,6177,321625218891.4912,316230237313.92474,15.05449297579175,1.24569560937977e-19,KTCI_a_roll7,KTCI-a-roll7 Model,ktci_a_roll7,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",KTCI-a의 7일 rolling 평균으로 체감 지속성 반영
1,6208,5,6191,363005686977.52954,352985783395.86774,35.147717552408615,1.418979914583805e-35,Decomposition_Month_Weighted,Decomposition Model,"Cd_month_w, Ca_month_w, P_month_w, W_month_w, S_month_w","rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",KTCI를 Cd/Ca/P/W/S 월 기준 계절 가중 성분으로 분해
2,6207,10,6184,349116772749.2715,340374037146.2393,15.884019069857032,1.3893633257052057e-28,Decomposition_Month_Weighted,Decomposition Model,"Cd_month_w, Ca_month_w, P_month_w, W_month_w, S_month_w","rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",KTCI를 Cd/Ca/P/W/S 월 기준 계절 가중 성분으로 분해
3,6206,15,6177,345947315286.86707,337459265958.8771,10.357927803032164,4.6250896290303475e-25,Decomposition_Month_Weighted,Decomposition Model,"Cd_month_w, Ca_month_w, P_month_w, W_month_w, S_month_w","rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",KTCI를 Cd/Ca/P/W/S 월 기준 계절 가중 성분으로 분해
