display,n_predictors,AIC,BIC,RMSE,MAE,R2,Adj_R2
Decomposition-a Model,17,119380.89338926366,119534.34086879223,11921.860109604704,7370.557344126005,0.3415683388128491,0.3093108799074267
Decomposition Model,17,119359.02321064945,119512.47069017803,11973.099644195754,7375.381170179978,0.3358963659702363,0.3033610294327551
KTCI-a-roll7 Model,15,119373.03740598392,119513.14162642305,12020.910909363909,7345.642362070267,0.3305819475520081,0.3018103980198594
KTCI-a Model,15,119236.3384744585,119376.44269489763,12318.489182830475,7580.27836653347,0.29702876247385923,0.26681509896987043
KTCI Model,15,119216.64860258921,119356.75282302834,12644.468706906297,7833.719043936064,0.25933156813617775,0.22749768137985305
Baseline (Temperature),15,119697.02189646735,119837.12611690648,13316.588538611191,8849.475911126721,0.1784980003614436,0.14318989149445693
