round_id,round_label,program_idx,title_original,title_clean,title_base,place_single,program_type_clean,program_type_group,participation_type_clean,start_date,end_date,duration_days,year,month,season,has_time,start_time_first,end_time_first,duration_minutes_first,detail_url,image_url,has_reward,has_children,has_night,has_music,has_food,has_guide,has_hanbok,has_reservation_notice,has_fee_info,has_rain_notice
26,11회,577,경복궁 생과방,경복궁 생과방,생과방,경복궁,체험,참여형,사전예약,2025-04-25,2025-05-04,10,2025,4,봄,1,10:00,11:40,70,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=577&searchRound=26&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202503/1418530216d34c83b1f7dc1aaa7b7efe_1742217327696.JPG,0,1,0,0,1,0,0,1,1,1
26,11회,576,경복궁 별빛야행,경복궁 별빛야행,별빛야행,경복궁,체험,참여형,사전예약,2025-04-25,2025-05-04,10,2025,4,봄,1,18:40,19:40,110,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=576&searchRound=26&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202503/eec5cbd201c748a6b01e2233955e447f_1742216535954.jpg,0,1,1,1,1,1,0,1,1,1
26,11회,575,고궁음악회-100인의 ‘여민동락(與民同樂)’,고궁음악회-100인의 ‘여민동락(與民同樂)’,고궁음악회-100인의 ‘여민동락(與民同樂)’,경복궁,공연,관람형,사전예약,2025-05-03,2025-05-05,3,2025,5,봄,1,19:30,20:30,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=575&searchRound=26&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202503/f465a909ebab446aae38f670ce30e4d8_1742187992500.jpg,0,0,0,1,1,0,0,1,0,1
26,11회,574,궁중놀이방-경복궁,궁중놀이방-경복궁,궁중놀이방,경복궁,체험,참여형,현장참여,2025-04-26,2025-05-04,9,2025,4,봄,0,,,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=574&searchRound=26&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202503/cec39b9b33954be09ea784cbd3812aa7_1742187812203.jpg,0,0,0,0,1,0,0,0,0,1
26,11회,573,궁중문화축전 길놀이-경복궁,길놀이-경복궁,길놀이,경복궁,공연,관람형,현장참여,2025-05-03,2025-05-03,1,2025,5,봄,1,14:30,16:00,50,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=573&searchRound=26&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202503/91842109d7b2402dbd1167ae130e22ac_1742187607186.jpg,0,0,0,1,1,0,0,0,0,0
26,11회,572,봄날의 경회루,날의 경회루,날의 경회루,경복궁,체험,참여형,현장참여,2025-04-26,2025-05-04,9,2025,4,봄,1,11:00,15:00,90,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=572&searchRound=26&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202503/552a0c8fabfa421faba64794a16b9048_1742187470235.jpg,0,1,0,1,1,0,0,1,1,1
26,11회,571,어린이 궁중문화축전-궁중직업실록,어린이 궁중문화축전-궁중직업실록,어린이 궁중문화축전-궁중직업실록,경복궁,체험,참여형,현장참여,2025-05-02,2025-05-04,3,2025,5,봄,1,10:00,17:30,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=571&searchRound=26&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202503/80c1384af9484869bca8afc5309937ed_1742187079860.jpg,0,1,0,1,0,0,0,1,1,0
26,11회,570,K-Heritage마켓,K-Heritage마켓,K-Heritage마켓,경복궁,체험,참여형,현장참여,2025-04-26,2025-05-04,9,2025,4,봄,1,10:00,17:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=570&searchRound=26&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202503/67d4d2816fa342dc9f608fc8fe456598_1742186948715.jpg,1,0,0,0,1,0,0,0,0,0
26,11회,569,"시간여행, 세종-한밤의 시간여행","시간여행, 세종-한밤의 시간여행","시간여행, 세종-한밤의 시간여행",경복궁,복합,복합형,사전예약,2025-04-26,2025-04-30,5,2025,4,봄,1,19:00,21:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=569&searchRound=26&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202503/1325f216bfc34876808ade41b38dfa7a_1742184999844.jpg,0,1,1,1,1,0,0,1,1,1
26,11회,568,"시간여행, 세종-궁중새내기","시간여행, 세종-궁중새내기","시간여행, 세종-궁중새내기",경복궁,복합,복합형,사전예약,2025-04-26,2025-04-30,5,2025,4,봄,1,10:00,14:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=568&searchRound=26&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202503/02742747137f42d0a2dd9ac0edf37d20_1742184693459.jpg,0,1,0,1,1,0,0,1,1,1
