date,round_id,round_label,program_idx,title_original,title_clean,title_base,place_single,program_type_clean,program_type_group,participation_type_clean,year,month,day,weekday,weekday_kr,is_weekend,season,has_time,start_time_first,end_time_first,duration_minutes_first,has_reward,has_children,has_night,has_music,has_food,has_guide,has_hanbok,has_reservation_notice,has_fee_info,has_rain_notice
2025-04-27,26,11회,637,2025 봄 궁중문화축전 스탬프 투어,스탬프 투어,스탬프 투어,경복궁,체험,참여형,현장참여,2025,4,27,Sunday,일,1,봄,1,09:00,18:00,,1,0,0,0,1,1,0,0,1,1
2025-04-28,26,11회,637,2025 봄 궁중문화축전 스탬프 투어,스탬프 투어,스탬프 투어,경복궁,체험,참여형,현장참여,2025,4,28,Monday,월,0,봄,1,09:00,18:00,,1,0,0,0,1,1,0,0,1,1
2025-04-29,26,11회,637,2025 봄 궁중문화축전 스탬프 투어,스탬프 투어,스탬프 투어,경복궁,체험,참여형,현장참여,2025,4,29,Tuesday,화,0,봄,1,09:00,18:00,,1,0,0,0,1,1,0,0,1,1
2025-04-30,26,11회,637,2025 봄 궁중문화축전 스탬프 투어,스탬프 투어,스탬프 투어,경복궁,체험,참여형,현장참여,2025,4,30,Wednesday,수,0,봄,1,09:00,18:00,,1,0,0,0,1,1,0,0,1,1
2025-05-01,26,11회,637,2025 봄 궁중문화축전 스탬프 투어,스탬프 투어,스탬프 투어,경복궁,체험,참여형,현장참여,2025,5,1,Thursday,목,0,봄,1,09:00,18:00,,1,0,0,0,1,1,0,0,1,1
2025-05-02,26,11회,637,2025 봄 궁중문화축전 스탬프 투어,스탬프 투어,스탬프 투어,경복궁,체험,참여형,현장참여,2025,5,2,Friday,금,0,봄,1,09:00,18:00,,1,0,0,0,1,1,0,0,1,1
2025-05-03,26,11회,637,2025 봄 궁중문화축전 스탬프 투어,스탬프 투어,스탬프 투어,경복궁,체험,참여형,현장참여,2025,5,3,Saturday,토,1,봄,1,09:00,18:00,,1,0,0,0,1,1,0,0,1,1
2025-05-04,26,11회,637,2025 봄 궁중문화축전 스탬프 투어,스탬프 투어,스탬프 투어,경복궁,체험,참여형,현장참여,2025,5,4,Sunday,일,1,봄,1,09:00,18:00,,1,0,0,0,1,1,0,0,1,1
2025-05-01,26,11회,630,열아홉 화협옹주의 꽃단장,열아홉 화협옹주의 꽃단장,열아홉 화협옹주의 꽃단장,경복궁,체험,참여형,사전예약,2025,5,1,Thursday,목,0,봄,1,10:10,12:10,,0,0,0,0,0,0,0,1,0,0
2025-05-01,26,11회,629,국립고궁박물관-어차 MZ 워크샵,국립고궁박물관-어차 MZ 워크샵,국립고궁박물관-어차 MZ 워크샵,경복궁,체험,참여형,사전예약,2025,5,1,Thursday,목,0,봄,1,13:30,15:30,,0,0,0,0,1,0,0,1,0,0
2025-04-25,26,11회,578,경복궁 수문장 교대의식,경복궁 수문장 교대의식,수문장 교대의식,경복궁,재현,관람형,현장참여,2025,4,25,Friday,금,0,봄,1,10:00,14:00,20,0,0,0,0,1,0,0,0,0,1
2025-04-26,26,11회,578,경복궁 수문장 교대의식,경복궁 수문장 교대의식,수문장 교대의식,경복궁,재현,관람형,현장참여,2025,4,26,Saturday,토,1,봄,1,10:00,14:00,20,0,0,0,0,1,0,0,0,0,1
2025-04-27,26,11회,578,경복궁 수문장 교대의식,경복궁 수문장 교대의식,수문장 교대의식,경복궁,재현,관람형,현장참여,2025,4,27,Sunday,일,1,봄,1,10:00,14:00,20,0,0,0,0,1,0,0,0,0,1
2025-04-28,26,11회,578,경복궁 수문장 교대의식,경복궁 수문장 교대의식,수문장 교대의식,경복궁,재현,관람형,현장참여,2025,4,28,Monday,월,0,봄,1,10:00,14:00,20,0,0,0,0,1,0,0,0,0,1
2025-04-29,26,11회,578,경복궁 수문장 교대의식,경복궁 수문장 교대의식,수문장 교대의식,경복궁,재현,관람형,현장참여,2025,4,29,Tuesday,화,0,봄,1,10:00,14:00,20,0,0,0,0,1,0,0,0,0,1
2025-04-30,26,11회,578,경복궁 수문장 교대의식,경복궁 수문장 교대의식,수문장 교대의식,경복궁,재현,관람형,현장참여,2025,4,30,Wednesday,수,0,봄,1,10:00,14:00,20,0,0,0,0,1,0,0,0,0,1
2025-05-01,26,11회,578,경복궁 수문장 교대의식,경복궁 수문장 교대의식,수문장 교대의식,경복궁,재현,관람형,현장참여,2025,5,1,Thursday,목,0,봄,1,10:00,14:00,20,0,0,0,0,1,0,0,0,0,1
2025-05-02,26,11회,578,경복궁 수문장 교대의식,경복궁 수문장 교대의식,수문장 교대의식,경복궁,재현,관람형,현장참여,2025,5,2,Friday,금,0,봄,1,10:00,14:00,20,0,0,0,0,1,0,0,0,0,1
2025-05-03,26,11회,578,경복궁 수문장 교대의식,경복궁 수문장 교대의식,수문장 교대의식,경복궁,재현,관람형,현장참여,2025,5,3,Saturday,토,1,봄,1,10:00,14:00,20,0,0,0,0,1,0,0,0,0,1
2025-05-04,26,11회,578,경복궁 수문장 교대의식,경복궁 수문장 교대의식,수문장 교대의식,경복궁,재현,관람형,현장참여,2025,5,4,Sunday,일,1,봄,1,10:00,14:00,20,0,0,0,0,1,0,0,0,0,1
2025-04-25,26,11회,577,경복궁 생과방,경복궁 생과방,생과방,경복궁,체험,참여형,사전예약,2025,4,25,Friday,금,0,봄,1,10:00,11:40,70,0,1,0,0,1,0,0,1,1,1
2025-04-26,26,11회,577,경복궁 생과방,경복궁 생과방,생과방,경복궁,체험,참여형,사전예약,2025,4,26,Saturday,토,1,봄,1,10:00,11:40,70,0,1,0,0,1,0,0,1,1,1
2025-04-27,26,11회,577,경복궁 생과방,경복궁 생과방,생과방,경복궁,체험,참여형,사전예약,2025,4,27,Sunday,일,1,봄,1,10:00,11:40,70,0,1,0,0,1,0,0,1,1,1
2025-04-28,26,11회,577,경복궁 생과방,경복궁 생과방,생과방,경복궁,체험,참여형,사전예약,2025,4,28,Monday,월,0,봄,1,10:00,11:40,70,0,1,0,0,1,0,0,1,1,1
2025-04-29,26,11회,577,경복궁 생과방,경복궁 생과방,생과방,경복궁,체험,참여형,사전예약,2025,4,29,Tuesday,화,0,봄,1,10:00,11:40,70,0,1,0,0,1,0,0,1,1,1
2025-04-30,26,11회,577,경복궁 생과방,경복궁 생과방,생과방,경복궁,체험,참여형,사전예약,2025,4,30,Wednesday,수,0,봄,1,10:00,11:40,70,0,1,0,0,1,0,0,1,1,1
2025-05-01,26,11회,577,경복궁 생과방,경복궁 생과방,생과방,경복궁,체험,참여형,사전예약,2025,5,1,Thursday,목,0,봄,1,10:00,11:40,70,0,1,0,0,1,0,0,1,1,1
2025-05-02,26,11회,577,경복궁 생과방,경복궁 생과방,생과방,경복궁,체험,참여형,사전예약,2025,5,2,Friday,금,0,봄,1,10:00,11:40,70,0,1,0,0,1,0,0,1,1,1
2025-05-03,26,11회,577,경복궁 생과방,경복궁 생과방,생과방,경복궁,체험,참여형,사전예약,2025,5,3,Saturday,토,1,봄,1,10:00,11:40,70,0,1,0,0,1,0,0,1,1,1
2025-05-04,26,11회,577,경복궁 생과방,경복궁 생과방,생과방,경복궁,체험,참여형,사전예약,2025,5,4,Sunday,일,1,봄,1,10:00,11:40,70,0,1,0,0,1,0,0,1,1,1
2025-04-25,26,11회,576,경복궁 별빛야행,경복궁 별빛야행,별빛야행,경복궁,체험,참여형,사전예약,2025,4,25,Friday,금,0,봄,1,18:40,19:40,110,0,1,1,1,1,1,0,1,1,1
2025-04-26,26,11회,576,경복궁 별빛야행,경복궁 별빛야행,별빛야행,경복궁,체험,참여형,사전예약,2025,4,26,Saturday,토,1,봄,1,18:40,19:40,110,0,1,1,1,1,1,0,1,1,1
2025-04-27,26,11회,576,경복궁 별빛야행,경복궁 별빛야행,별빛야행,경복궁,체험,참여형,사전예약,2025,4,27,Sunday,일,1,봄,1,18:40,19:40,110,0,1,1,1,1,1,0,1,1,1
2025-04-28,26,11회,576,경복궁 별빛야행,경복궁 별빛야행,별빛야행,경복궁,체험,참여형,사전예약,2025,4,28,Monday,월,0,봄,1,18:40,19:40,110,0,1,1,1,1,1,0,1,1,1
2025-04-29,26,11회,576,경복궁 별빛야행,경복궁 별빛야행,별빛야행,경복궁,체험,참여형,사전예약,2025,4,29,Tuesday,화,0,봄,1,18:40,19:40,110,0,1,1,1,1,1,0,1,1,1
2025-04-30,26,11회,576,경복궁 별빛야행,경복궁 별빛야행,별빛야행,경복궁,체험,참여형,사전예약,2025,4,30,Wednesday,수,0,봄,1,18:40,19:40,110,0,1,1,1,1,1,0,1,1,1
