ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏ¾î±Ç),°æº¹±Ã(Áß¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏ¾î±Ç),Ã¢´ö±Ã(Áß¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏ¾î±Ç),Ã¢°æ±Ã(Áß¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏ¾î±Ç),´ö¼ö±Ã(Áß¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Á¾¹¦(À¯·á),Á¾¹¦(¹«·á),Á¾¹¦(³»±¹ÀÎ),Á¾¹¦(¿µ¾î±Ç),Á¾¹¦(ÀÏ¾î±Ç),Á¾¹¦(Áß¾î±Ç),Á¾¹¦(±âÅ¸¿Ü±¹ÀÎ)
2023-01-01,6399,6115,11075,900,157,279,103,2404,686,2321,298,17,9,445,1088,644,1584,130,4,0,14,1597,3438,4240,365,30,85,315,740,321,864,147,31,2,17
2023-01-02,3410,3298,5879,545,70,176,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,99,177,80,19,2,4
2023-01-03,0,0,0,0,0,0,0,1813,721,1553,653,48,27,253,607,457,862,109,11,3,79,977,5305,5580,406,33,79,184,0,0,0,0,0,0,0
2023-01-04,3410,3648,6186,639,73,132,28,1130,516,1187,189,35,16,219,486,463,823,90,6,3,27,797,5231,5637,297,10,32,52,158,95,192,37,20,2,2
2023-01-05,2913,3181,5298,651,74,44,27,1231,554,1340,253,32,4,156,514,473,903,65,5,8,6,856,5549,5972,259,21,44,109,149,140,230,39,19,1,0
2023-01-06,2731,3180,5204,483,50,46,128,1180,584,1364,184,27,4,185,570,421,888,67,2,2,32,893,5543,5996,237,21,28,154,180,93,202,60,9,2,0
2023-01-07,4164,4048,7411,550,82,77,92,1972,690,2173,393,29,6,61,960,641,1482,72,6,7,34,1635,5218,6371,287,25,28,142,731,564,1197,83,10,0,5
2023-01-08,5099,6110,10257,619,113,170,50,2014,687,2162,142,46,13,338,851,638,1392,45,2,4,46,1557,3755,4813,245,23,15,216,706,334,929,79,25,3,4
2023-01-09,3116,3340,6020,298,58,29,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,117,267,46,6,3,3
2023-01-10,0,0,0,0,0,0,0,1928,954,2373,274,20,16,199,769,700,1321,107,2,0,39,1180,6722,7496,273,14,59,60,0,0,0,0,0,0,0
2023-01-11,2919,3598,5883,434,49,35,116,1302,608,1516,222,17,20,135,671,559,1140,42,6,8,34,1046,7240,7956,227,6,13,84,217,124,294,27,5,15,0
2023-01-12,2754,3837,6115,333,55,69,19,1419,758,1808,274,15,28,52,731,624,1231,57,6,12,49,1129,7144,7922,216,15,47,73,217,163,323,53,3,1,0
2023-01-13,1629,1745,2909,354,27,70,14,905,334,894,103,4,0,238,305,280,543,38,0,0,4,696,4022,4418,180,12,32,76,121,64,160,18,3,0,4
2023-01-14,2730,2880,5158,354,63,19,16,1457,513,1728,117,21,14,90,722,426,1064,51,1,4,28,1341,4475,5403,288,4,47,74,623,271,816,69,9,0,0
2023-01-15,2981,2962,5237,474,67,87,78,1298,545,1512,189,16,10,116,536,430,873,79,0,0,14,1010,2497,3154,202,16,38,97,378,163,455,78,5,1,2
2023-01-16,2559,3147,5279,347,34,37,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,123,253,39,9,2,1
2023-01-17,0,0,0,0,0,0,0,1298,688,1535,238,25,30,158,416,440,762,48,4,4,38,805,5337,5791,212,11,15,113,0,0,0,0,0,0,0
2023-01-18,2249,3010,4756,354,29,50,70,907,502,1068,183,10,40,108,406,467,788,76,1,1,7,829,5414,5934,215,7,7,80,145,130,238,34,2,0,1
2023-01-19,1672,1873,3023,355,20,65,82,639,364,806,135,0,11,51,334,355,627,38,0,2,22,766,5305,5809,156,5,16,85,115,125,211,26,0,3,0
2023-01-20,1568,2066,2915,498,30,89,102,795,287,895,110,5,6,66,288,249,471,42,0,2,22,507,2809,3089,159,4,7,57,98,56,126,14,4,10,0
2023-01-21,0,21158,15092,2539,568,797,2162,506,3400,3173,380,259,52,42,0,1171,1058,0,0,0,113,0,5065,4335,296,10,31,393,0,1396,1396,0,0,0,0
2023-01-22,0,51388,36741,5121,1238,2384,5904,627,7699,7142,1126,7,0,51,0,2442,2306,0,0,0,136,0,7293,6029,319,6,25,914,0,2105,2105,0,0,0,0
2023-01-23,0,72372,57847,4272,1001,2409,6843,627,9187,9130,373,88,171,52,0,2800,2677,0,0,0,123,0,8421,7710,270,21,53,367,0,4316,4316,0,0,0,0
2023-01-24,0,9876,6378,716,136,470,2176,288,1606,1222,304,94,211,63,0,396,375,0,0,0,21,0,1944,1571,89,4,4,276,0,299,299,0,0,0,0
2023-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-26,3995,3789,6924,563,23,146,128,1710,732,1996,161,16,34,235,817,574,1308,55,0,8,20,1215,3338,4197,140,10,77,129,255,148,384,17,1,1,0
2023-01-27,2628,2391,4165,499,51,213,91,1215,395,1184,188,8,24,206,334,295,565,45,0,10,9,817,3684,4172,196,16,27,90,120,58,149,10,0,16,3
2023-01-28,3576,3799,6830,300,51,163,31,1674,563,1770,304,21,47,95,700,516,1111,72,2,16,15,1699,4005,5290,180,27,63,144,658,297,869,64,10,12,0
2023-01-29,4030,5224,8348,568,68,177,93,1755,674,1980,222,14,26,187,755,640,1331,25,0,15,24,1945,3883,5301,232,9,80,206,601,337,853,74,7,0,4
2023-01-30,2286,3286,5182,197,35,72,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,114,249,19,8,7,0
2023-01-31,0,0,0,0,0,0,0,1348,967,1800,250,30,37,198,535,725,1179,52,4,5,20,853,5828,6183,243,19,127,109,0,0,0,0,0,0,0
2023-02-01,2341,3534,5317,291,56,147,64,910,539,1164,177,13,16,79,445,480,856,22,5,10,32,663,5433,5793,163,13,24,103,165,127,252,20,20,0,0
2023-02-02,2267,2947,4783,319,57,47,8,945,517,1182,73,1,78,128,463,527,908,60,0,8,14,633,5514,5846,154,8,96,43,130,85,178,30,6,1,0
2023-02-03,2368,3189,5063,349,78,57,10,1033,578,1368,184,10,10,39,732,624,1248,83,3,4,18,839,5434,5904,190,19,123,37,199,112,272,22,10,7,0
2023-02-04,5213,6126,10819,358,74,46,42,2547,1124,3161,288,20,32,170,1803,1078,2774,89,2,2,14,1865,10195,11560,308,9,17,166,1209,552,1626,115,15,5,0
2023-02-05,5074,6456,10733,437,68,192,100,2087,922,2606,231,21,18,133,1541,1018,2409,87,3,8,52,1664,4489,5527,245,5,130,246,777,413,1078,97,7,0,8
2023-02-06,2990,3411,5642,434,89,100,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,140,244,51,11,3,0
2023-02-07,0,0,0,0,0,0,0,1537,990,1984,373,46,37,87,712,682,1290,57,13,4,30,1166,6936,7706,183,19,49,145,0,0,0,0,0,0,0
2023-02-08,2570,4046,5962,463,77,55,59,1132,669,1367,274,22,19,119,585,593,1087,62,0,2,27,810,6481,6959,153,9,30,140,181,115,239,40,4,12,1
2023-02-09,2476,3399,5314,346,111,91,13,1152,724,1524,196,16,17,123,624,687,1235,39,1,7,29,798,7226,7725,167,20,37,75,151,153,278,17,5,4,0
2023-02-10,2470,3417,5404,311,60,62,50,1048,602,1408,148,15,8,71,644,532,1081,56,2,14,23,972,5916,6488,179,11,136,74,148,128,248,25,1,2,0
2023-02-11,6054,7693,12524,798,117,184,124,2988,1284,3921,175,38,27,111,1947,1164,2974,86,14,17,20,2217,8466,10246,262,22,17,136,1403,669,1932,120,18,0,2
2023-02-12,6099,7972,13154,591,116,140,70,2219,920,2754,225,40,38,82,1140,787,1847,52,2,3,23,1687,5123,6375,287,10,57,81,880,550,1315,101,9,3,2
2023-02-13,3113,4155,6832,270,82,76,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,138,305,51,14,0,0
2023-02-14,0,0,0,0,0,0,0,2030,1187,2552,479,21,40,125,852,882,1581,70,7,6,70,944,7765,8330,264,17,16,82,0,0,0,0,0,0,0
2023-02-15,3229,4800,7417,388,86,119,19,1405,792,1828,275,13,12,69,442,764,1069,67,0,0,70,985,6433,7141,181,5,56,35,248,206,383,52,19,0,0
2023-02-16,2790,4124,6153,371,114,100,176,1213,634,1498,121,35,7,186,494,532,969,33,2,3,19,780,4583,5074,194,16,36,43,166,121,249,22,7,7,2
2023-02-17,3849,5186,8115,709,149,52,10,1746,922,2357,238,16,17,40,934,763,1550,86,9,16,36,1217,7674,8499,257,20,14,101,248,196,393,28,16,5,2
2023-02-18,6363,7864,13375,637,117,68,30,2481,1178,3264,254,13,8,120,1441,1002,2313,77,9,1,43,2018,7919,9399,378,20,47,93,1051,592,1545,88,10,0,0
2023-02-19,6298,7053,12303,752,158,96,42,2423,1152,3092,271,49,25,138,1146,885,1932,74,13,5,7,1581,4708,5840,295,24,37,93,911,479,1241,114,32,0,3
2023-02-20,3117,4088,6402,536,111,124,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,120,248,23,22,4,0
2023-02-21,0,0,0,0,0,0,0,1823,1053,2274,255,58,19,270,720,795,1359,129,2,4,21,892,7546,7955,241,22,68,152,0,0,0,0,0,0,0
