ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏº»¾î±Ç),°æº¹±Ã(Áß±¹¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏº»¾î±Ç),´ö¼ö±Ã(Áß±¹¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏº»¾î±Ç),Ã¢°æ±Ã(Áß±¹¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏº»¾î±Ç),Ã¢´ö±Ã(Áß±¹¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ)
2022-01-01,2882,1986,4792,49,7,7,13,969,2606,3490,58,0,0,27,0,0,0,0,0,0,0,1075,515,1545,40,0,0,5
2022-01-02,2095,1555,3554,71,6,7,12,1641,2656,4246,26,0,3,22,0,0,0,0,0,0,0,1152,485,1511,115,0,0,11
2022-01-03,631,739,1336,26,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-04,0,183,183,0,0,0,0,849,3273,4080,32,0,0,10,0,0,0,0,0,0,0,547,342,854,24,0,0,11
2022-01-05,508,879,1359,26,0,0,2,871,3842,4695,17,0,0,1,0,0,0,0,0,0,0,365,235,580,4,0,0,16
2022-01-06,666,907,1554,15,0,4,0,899,3912,4781,23,0,1,6,0,0,0,0,0,0,0,451,349,784,5,0,0,11
2022-01-07,699,1129,1796,31,0,1,0,891,4063,4930,18,2,0,4,366,446,800,9,0,0,3,517,362,871,8,0,0,0
2022-01-08,1714,1782,3441,31,2,5,17,1999,3842,5781,40,0,2,18,712,600,1297,14,0,0,1,988,515,1478,8,1,0,16
2022-01-09,1517,1501,2980,24,2,10,2,1567,2775,4275,46,0,4,17,572,504,1070,6,0,0,0,881,540,1386,23,0,0,12
2022-01-10,634,891,1497,26,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,0,86,86,0,0,0,0,1797,2748,4525,16,0,1,3,277,315,568,20,0,0,4,557,329,859,26,0,0,1
2022-01-12,492,797,1268,21,0,0,0,689,2899,3565,12,0,0,11,226,296,513,8,0,0,1,363,255,597,21,0,0,0
2022-01-13,426,730,1142,13,0,1,0,739,2759,3476,19,0,2,1,192,279,460,6,0,0,5,341,228,560,8,0,0,1
2022-01-14,601,835,1426,5,3,2,0,885,3599,4457,25,1,0,1,283,315,595,3,0,0,0,450,342,785,7,0,0,0
2022-01-15,1770,1673,3405,24,0,7,7,2077,3498,5535,29,0,1,10,28,56,84,0,0,0,0,1004,459,1439,18,0,0,6
2022-01-16,1733,1622,3311,38,2,4,0,1506,2739,4188,36,0,2,19,0,0,0,0,0,0,0,966,476,1409,30,0,0,3
2022-01-17,541,700,1216,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,0,0,0,0,0,0,0,1083,3707,4774,11,0,0,5,359,396,747,6,0,0,2,565,456,994,3,0,0,24
2022-01-19,1392,1244,2563,63,0,2,8,1365,2654,3988,22,0,1,8,920,699,1588,21,1,3,6,974,662,1592,15,0,4,25
