ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏ¾î±Ç),°æº¹±Ã(Áß¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏ¾î±Ç),Ã¢´ö±Ã(Áß¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏ¾î±Ç),Ã¢°æ±Ã(Áß¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏ¾î±Ç),´ö¼ö±Ã(Áß¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Á¾¹¦(À¯·á),Á¾¹¦(¹«·á),Á¾¹¦(³»±¹ÀÎ),Á¾¹¦(¿µ¾î±Ç),Á¾¹¦(ÀÏ¾î±Ç),Á¾¹¦(Áß¾î±Ç),Á¾¹¦(±âÅ¸¿Ü±¹ÀÎ)
2025-01-28,0,46680,24449,6326,2195,5790,7920,788,8999,7857,1383,106,371,70,0,9335,7519,0,0,0,1816,0,9654,8427,423,39,201,564,0,2686,2446,0,0,0,240
2025-01-29,0,70072,35751,7057,2666,10016,14582,777,19717,16065,2987,628,726,88,0,17702,13866,0,0,0,3836,0,13147,11545,543,33,269,757,0,4931,4545,0,0,0,386
2025-01-30,0,56575,27287,5169,1960,10097,12062,712,14195,11581,2284,321,665,56,0,13205,10848,0,0,0,2357,0,12356,10919,513,18,225,681,0,3905,3373,0,0,0,532
2025-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01,8645,10116,12200,1225,119,2859,2358,2626,2257,4161,350,31,203,138,1811,2066,3644,194,20,9,10,3226,9207,11884,285,26,139,99,1669,1023,2540,114,13,6,19
2025-02-02,6210,7571,11331,898,148,1185,219,1810,2927,4262,315,57,74,29,1077,1799,2709,123,10,21,13,2533,6569,8296,282,94,279,151,927,706,1486,106,16,12,13
2025-02-03,4067,5158,6148,1746,129,871,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,152,285,56,24,12,1
2025-02-04,0,0,0,0,0,0,0,912,1004,1207,400,86,157,66,299,443,552,144,17,9,20,1110,3108,3578,164,57,375,44,0,0,0,0,0,0,0
2025-02-05,3849,4896,5802,976,277,1198,492,504,675,873,164,34,48,60,289,386,544,105,15,5,6,880,3396,3869,156,30,150,71,188,112,201,68,21,0,10
2025-02-06,3789,4910,6375,811,179,884,450,658,595,902,216,41,40,54,269,341,496,73,14,7,20,1000,4204,4663,209,66,96,170,224,145,266,66,29,2,6
